FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
INTRA-EX;202511;513881387;MS100208;85111000;DK;PT;10;EXW;11;3;;0,3;6;149;;DK34701237;
INTRA-EX;202511;513881387;MS100247;85111000;DK;PT;10;EXW;11;3;;0,4;4;149;;DK34701237;
INTRA-EX;202511;513881387;MS100244;85111000;DK;PT;10;EXW;11;3;;0,3;6;166;;DK34701237;
INTRA-EX;202511;513881387;MS100192;85111000;DK;PT;10;EXW;11;3;;0,3;6;224;;DK34701237;
INTRA-EX;202511;513881387;AC-45-DP;87089235;CY;PT;10;EXW;11;3;;9,2;1;299;;CY10187883D;
INTRA-EX;202511;513881387;SILZKBR8D8S-6;84099100;LU;PT;10;EXW;11;3;;0,4;1;69;;QV999999999999;
INTRA-EX;202511;513881387;CTS-IGN-008;84099100;LU;PT;10;EXW;11;3;;0,3;6;215;;QV999999999999;
INTRA-EX;202511;513881387;MMHOSE-SUB-IHBK;40093100;SI;PT;10;EXW;11;3;;1,3;1;200;;QV999999999999;
INTRA-EX;202511;513881387;VWR810002;87089997;SI;PT;10;EXW;11;3;;0,5;1;79;;QV999999999999;
INTRA-EX;202511;513881387;FMGK1-ALI;87089997;SK;PT;10;EXW;11;3;;0,3;1;82;;QV999999999999;
INTRA-EX;202511;513881387;AC-R56-IC;84198998;SK;PT;10;EXW;11;3;;10,5;1;241;;QV999999999999;
INTRA-EX;202511;513881387;UR-TW2-1412;87088055;SK;PT;10;EXW;11;3;;2;1;113;;QV999999999999;
INTRA-EX;202511;513881387;FMACFRS3;84099100;SK;PT;10;EXW;11;3;;0,5;1;110;;QV999999999999;
INTRA-EX;202511;513881387;AC-300-CP-4;84099100;SK;PT;10;EXW;11;3;;1;1;69;;QV999999999999;
INTRA-EX;202511;513881387;ILZKBR7B8G-4;87089997;SK;PT;10;EXW;11;3;;0,3;1;37;;QV999999999999;
INTRA-EX;202511;513881387;AC-IS-TB;87089997;SK;PT;10;EXW;11;3;;0,3;1;43;;QV999999999999;
INTRA-EX;202511;513881387;KF-K8-F;87089997;HU;PT;10;EXW;11;3;;2,3;1;180;;QV999999999999;
INTRA-EX;202511;513881387;VSTD8-C1SA4;87089997;DE;PT;10;EXW;11;3;;26,5;1;784;;DE359821210;
INTRA-EX;202511;513881387;KTA216A;87088035;DE;PT;10;EXW;11;3;;4,3;1;240;;DE359821210;
INTRA-EX;202511;513881387;L3P3SFRX;87089997;DE;PT;10;EXW;11;3;;0,6;1;252;;DE359821210;
INTRA-EX;202511;513881387;MMODP-1615B;70102000;DE;PT;10;EXW;11;3;;0,1;7;81;;DE359821210;
INTRA-EX;202511;513881387;05399051205PG;87087000;DE;PT;10;EXW;11;3;;12,6;2;1406;;DE300579720;
INTRA-EX;202511;513881387;AC-FU-E36;87088055;PL;PT;10;EXW;11;3;;3,8;4;380;;QV999999999999;
INTRA-EX;202511;513881387;KTA293;87089997;GR;PT;10;EXW;11;3;;3,3;1;148;;GREL802913609;
INTRA-EX;202511;513881387;COMBO-NOV-MQB;84213100;GR;PT;10;EXW;11;3;;5,5;1;426;;QV999999999999;
INTRA-EX;202511;513881387;FMINT17;84198998;BE;PT;10;EXW;11;3;;10,7;1;506;;BE0789537438;
INTRA-EX;202511;513881387;FMINDK31;84213100;BE;PT;10;EXW;11;3;;3,5;1;216;;BE0789537438;
INTRA-EX;202511;513881387;TS-0645-4052;87089997;BE;PT;10;EXW;11;3;;0,6;1;141;;QV999999999999;
