FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
INTRA-EX;202410;513881387;SHD0380-4P-RD;87083091;AT;PT;10;EXW;11;3;;0,5;1;77;;QV999999999999;
INTRA-EX;202410;513881387;FMDV33A-A;87089997;HR;PT;10;EXW;11;3;;0,7;1;197;;QV999999999999;
INTRA-EX;202410;513881387;CTS-IGN-007;84099100;GR;PT;10;EXW;11;3;;0,3;8;271;;QV999999999999;
INTRA-EX;202410;513881387;AC-IS-TB;87089997;GR;PT;10;EXW;11;3;;0,3;1;42;;QV999999999999;
INTRA-EX;202410;513881387;R10-10-2;40091100;DE;PT;10;EXW;11;3;;0,3;1;84;;QV999999999999;
INTRA-EX;202410;513881387;AC-200-CFA-KIT;87089997;DE;PT;10;EXW;11;3;;0,1;1;32;;QV999999999999;
INTRA-EX;202410;513881387;1K0253144BD;40091100;DE;PT;10;EXW;11;3;;0,2;1;9;;QV999999999999;
INTRA-EX;202410;513881387;06D115562;84099100;DE;PT;10;EXW;11;3;;0,2;1;4;;QV999999999999;
INTRA-EX;202410;513881387;FMCTMK7;84099100;PL;PT;10;EXW;11;3;;1,6;1;303;;QV999999999999;
INTRA-EX;202410;513881387;DILKAR7C9H-4;85111000;BE;PT;10;EXW;11;3;;0,2;1;52;;QV999999999999;
INTRA-EX;202410;513881387;VWR12G7R600FO;84213100;BE;PT;10;EXW;11;3;;0,5;1;91;;QV999999999999;
INTRA-EX;202410;513881387;CTS-IGN-007;84099100;BE;PT;10;EXW;11;3;;0,3;4;139;;QV999999999999;
INTRA-EX;202410;513881387;VWR19G704;70102000;BE;PT;10;EXW;11;3;;0,1;1;73;;QV999999999999;
INTRA-EX;202410;513881387;VWR19G703;70102000;BE;PT;10;EXW;11;3;;0,2;1;85;;QV999999999999;
INTRA-EX;202410;513881387;VWR19G707;84213100;BE;PT;10;EXW;11;3;;0,1;1;73;;QV999999999999;
INTRA-EX;202410;513881387;VWR19G701;87089997;BE;PT;10;EXW;11;3;;0,2;1;60;;QV999999999999;
INTRA-EX;202410;513881387;VWR19G702;70102000;BE;PT;10;EXW;11;3;;0,1;1;73;;QV999999999999;
INTRA-EX;202410;513881387;AC-S55-OTC;84213100;BE;PT;10;EXW;11;3;;0,3;1;37;;BE0738962034;
INTRA-EX;202410;513881387;06D115562;84099100;BE;PT;10;EXW;11;3;;0,2;1;4;;QV999999999999;
INTRA-EX;202410;513881387;AC-VAG-ODP;70102000;BE;PT;10;EXW;11;3;;0,2;1;8;;QV999999999999;
INTRA-EX;202410;513881387;SAU114B;87088055;BE;PT;10;EXW;11;3;;1,3;1;82;;QV999999999999;
INTRA-EX;202410;513881387;EVE-FX34M-PF;84213100;BE;PT;10;EXW;11;3;;1,5;1;142;;BE0740963105;
INTRA-EX;202410;513881387;FMMD7;87089235;IT;PT;10;EXW;11;3;;0,6;1;83;;IT03528320785;
INTRA-EX;202410;513881387;FMDV26A;87089997;IT;PT;10;EXW;11;3;;0,7;1;164;;IT03656931205;
INTRA-EX;202410;513881387;ATMSYGR10;87089997;IT;PT;10;EXW;11;3;;2,5;1;202;;QV999999999999;
INTRA-EX;202410;513881387;FMSS5;87089997;IT;PT;10;EXW;11;3;;0,2;1;54;;QV999999999999;
INTRA-EX;202410;513881387;SILZKGR8B8S-6;85111000;NL;PT;10;EXW;11;3;;0,2;1;58;;QV999999999999;
INTRA-EX;202410;513881387;CTS-IT-341;40091100;NL;PT;10;EXW;11;3;;1,4;1;200;;QV999999999999;
INTRA-EX;202410;513881387;VWR90000;85111000;ES;PT;10;EXW;11;3;;0,3;4;122;;ESB76731736;
INTRA-EX;202410;513881387;CTS-HW-0090;84099100;ES;PT;10;EXW;11;3;;0,5;1;134;;ESB76731736;
INTRA-EX;202410;513881387;CTS-HW-0420R-SL;87089997;ES;PT;10;EXW;11;3;;5;1;562;;ESB76731736;
INTRA-EX;202410;513881387;GTHSB-5;87089997;ES;PT;10;EXW;11;3;;0,1;5;80;;ESB76731736;
INTRA-EX;202410;513881387;9-655-1025;84133080;ES;PT;10;EXW;11;3;;0,8;1;163;;QV999999999999;
INTRA-EX;202410;513881387;ZN8FK;87088035;ES;PT;10;EXW;11;3;;8;1;216;;QV999999999999;
INTRA-EX;202410;513881387;ATMSFO135;87089997;ES;PT;10;EXW;11;3;;1,8;1;116;;QV999999999999;
INTRA-EX;202410;513881387;SVW0630-4P-BK;87083091;ES;PT;10;EXW;11;3;;0,5;1;78;;QV999999999999;
INTRA-EX;202410;513881387;SFDP091;87089235;ES;PT;10;EXW;11;3;;4;1;123;;QV999999999999;
INTRA-EX;202410;513881387;AC-MK7-FU-BK;87088055;ES;PT;10;EXW;11;3;;3;1;81;;QV999999999999;
INTRA-EX;202410;513881387;AC-250-IP;84198998;ES;PT;10;EXW;11;3;;1,9;1;119;;QV999999999999;
