FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
INTRA-EX;20262;513881387;MMRAD-MIA-99;;BE;PT;10;EXW;11;3;;0,1;1,000;179;;BE0740963105;
INTRA-EX;20262;513881387;EVE-F9XM5M8-CHG;;BE;PT;10;EXW;11;3;;0,1;1,000;473;;BE0740963105;
INTRA-EX;20262;513881387;SFT005;;BE;PT;10;EXW;11;3;;0,1;1,000;548;;BE0845609871;
INTRA-EX;20262;513881387;BHR96;;GR;PT;10;EXW;11;3;;0,1;1,000;192;;GREL163940830;
INTRA-EX;20262;513881387;BHF96Z;;GR;PT;10;EXW;11;3;;0,1;1,000;139;;GREL163940830;
INTRA-EX;20262;513881387;10.127.100K;;GR;PT;10;EXW;11;3;;0,1;1,000;227;;GREL163940830;
INTRA-EX;20262;513881387;9-655-1025;;GR;PT;10;EXW;11;3;;0,1;1,000;129;;GREL802913609;
INTRA-EX;20262;513881387;GSS12-91SS2;;GR;PT;10;EXW;11;3;;0,1;1,000;624;;GREL802913609;
INTRA-EX;20262;513881387;70017-AN101;;GR;PT;10;EXW;11;3;;0,1;1,000;22;;GREL802913609;
INTRA-EX;20262;513881387;SVWP061;;GR;PT;10;EXW;11;3;;0,1;1,000;48;;GREL802913609;
INTRA-EX;20262;513881387;CI100053;;NL;PT;10;EXW;11;3;;0,1;2,000;573;;NL866996473B01;
INTRA-EX;20262;513881387;CI100035-B;;NL;PT;10;EXW;11;3;;0,1;1,000;307;;NL866996473B01;
INTRA-EX;20262;513881387;VWR900001;;NL;PT;10;EXW;11;3;;0,3;8,000;245;;NL866996473B01;
INTRA-EX;20262;513881387;R7437-8;;NL;PT;10;EXW;11;3;;0,1;4,000;136;;NL866996473B01;
INTRA-EX;20262;513881387;R7438-9;;NL;PT;10;EXW;11;3;;0,1;4,000;138;;NL866996473B01;
INTRA-EX;20262;513881387;VWR810002;;NL;PT;10;EXW;11;3;;0,5;5,000;282;;NL866996473B01;
INTRA-EX;20262;513881387;VWR12P2GTM;;NL;PT;10;EXW;11;3;;2,1;1,000;444;;NL866996473B01;
INTRA-EX;20262;513881387;VWR180004;;NL;PT;10;EXW;11;3;;0,1;1,000;27;;NL866996473B01;
INTRA-EX;20262;513881387;CTS-IGN-009;;NL;PT;10;EXW;11;3;;0,1;25,000;647;;NL866996473B01;
INTRA-EX;20262;513881387;EVE-F4XB48-CF-INT;;NL;PT;10;EXW;11;3;;0,1;1,000;929;;NL866996473B01;
INTRA-EX;20262;513881387;EVE-F56-LCI-PL-INT;;NL;PT;10;EXW;11;3;;0,1;1,000;714;;NL866996473B01;
INTRA-EX;20262;513881387;CTS-IGN-007;;ES;PT;10;EXW;11;3;;0,1;4,000;140;;ES54064762L;
INTRA-EX;20262;513881387;MS100208-4;;ES;PT;10;EXW;11;3;;0,1;1,000;127;;ES54064762L;
INTRA-EX;20262;513881387;FMACVAG05;;ES;PT;10;EXW;11;3;;0,1;1,000;144;;ES54064762L;
INTRA-EX;20262;513881387;SAU1558-4P-BK;;ES;PT;10;EXW;11;3;;0,5;1,000;66;;ES78533689M;
INTRA-EX;20262;513881387;CTS-HW-0133;;ES;PT;10;EXW;11;3;;0,1;1,000;136;;ES78533689M;
INTRA-EX;20262;513881387;Z1003101-6;;ES;PT;10;EXW;11;3;;0,1;1,000;112;;ES78533689M;
INTRA-EX;20262;513881387;CTS-EXH-TP-0012;;ES;PT;10;EXW;11;3;;0,1;1,000;562;;ES78533689M;
INTRA-EX;20262;513881387;AC-B8S-EXM;;ES;PT;10;EXW;11;3;;11,3;1,000;517;;ES78533689M;
INTRA-EX;20262;513881387;CI100037;;ES;PT;10;EXW;11;3;;0,1;1,000;495;;ES78533689M;
INTRA-EX;20262;513881387;CTS-HW-266-187;;ES;PT;10;EXW;11;3;;0,1;1,000;323;;ES78533689M;
INTRA-EX;20262;513881387;MS100208-6;;ES;PT;10;EXW;11;3;;0,1;1,000;192;;ES78533689M;
INTRA-EX;20262;513881387;DBA2832S-2;;ES;PT;10;EXW;11;3;;0,1;1,000;216;;ES78533689M;
INTRA-EX;20262;513881387;DBA2847S-2;;ES;PT;10;EXW;11;3;;0,1;1,000;171;;ES78533689M;
INTRA-EX;20262;513881387;L3P3AB8X;;ES;PT;10;EXW;11;3;;0,1;1,000;323;;ES78533689M;
INTRA-EX;20262;513881387;AC-MK8-DP;;ES;PT;10;EXW;11;3;;0,1;1,000;156;;ES78832668F;
INTRA-EX;20262;513881387;SBW1162-4P-EB;;ES;PT;10;EXW;11;3;;0,5;1,000;76;;ES78832668F;
INTRA-EX;20262;513881387;AC-MK8-MD;;ES;PT;10;EXW;11;3;;0,3;2,000;100;;ES78832668F;
INTRA-EX;20262;513881387;EVE-G8XMV2-CF-INT;;FR;PT;10;EXW;11;3;;0,1;1,000;1988;;FR82530667591;
INTRA-EX;20262;513881387;VWR12G6GTFO;;IT;PT;10;EXW;11;3;;0,5;1,000;77;;IT03656931205;
INTRA-EX;20262;513881387;PF05;90262020;IT;PT;10;EXW;11;3;;0,2;1,000;171;;IT14481871003;
INTRA-EX;20262;513881387;Z1004081;;IT;PT;10;EXW;11;3;;0,1;6,000;123;;IT12072620011;
INTRA-EX;20262;513881387;EVE-G20B58-V2-INT;;FR;PT;10;EXW;11;3;;0,1;1,000;1000;;FR86498478304;
INTRA-EX;20262;513881387;EVE-A45S-CF-INT;;FR;PT;10;EXW;11;3;;0,1;1,000;1000;;FR31895072130;
INTRA-EX;20262;513881387;VWR900003;;FR;PT;10;EXW;11;3;;0,3;8,000;245;;FR09800029712;
INTRA-EX;20262;513881387;D650-0003;;FR;PT;10;EXW;11;3;;0,1;12,000;314;;FR09800029712;
INTRA-EX;20262;513881387;CI100054;;FR;PT;10;EXW;11;3;;0,1;1,000;225;;FR09800029712;
INTRA-EX;20262;513881387;D650-0003;;FR;PT;10;EXW;11;3;;0,1;12,000;314;;FR35504243288;
INTRA-EX;20262;513881387;MMIG-BMW-0206;;FR;PT;10;EXW;11;3;;0,1;1,000;102;;FR35504243288;
INTRA-EX;20262;513881387;CTS-HW-0271;;FR;PT;10;EXW;11;3;;0,1;2,000;105;;FR35504243288;
INTRA-EX;20262;513881387;ATINTKIA1;;ES;PT;10;EXW;11;3;;0,1;1,000;521;;ESB72996382;
INTRA-EX;20262;513881387;SHYSP102;;ES;PT;10;EXW;11;3;;0,1;1,000;125;;ESB42771618;
INTRA-EX;20262;513881387;DV100001;;ES;PT;10;EXW;11;3;;0,1;1,000;225;;ESB42771618;
INTRA-EX;20262;513881387;SILFER8C7ES;;ES;PT;10;EXW;11;3;;0,1;12,000;126;;ESB42771618;
INTRA-EX;20262;513881387;S-TY/T/3;;BG;PT;10;EXW;11;3;;0,1;1,000;2138;;BG204171399;
INTRA-EX;20262;513881387;E-TY/SS/4;;BG;PT;10;EXW;11;3;;0,1;1,000;407;;BG204171399;
INTRA-EX;20262;513881387;ARMABZA450S-A;;SK;PT;10;EXW;11;3;;0,1;1,000;465;;SK2120270581;
INTRA-EX;20262;513881387;D650-0011;;PL;PT;10;EXW;11;3;;0,1;8,000;249;;PL6972411863;
INTRA-EX;20262;513881387;VWR502000;;GR;PT;10;EXW;11;3;;0,5;1,000;105;;GREL802913609;
INTRA-EX;20262;513881387;CI100067;;GR;PT;10;EXW;11;3;;0,1;1,000;657;;GREL802913609;
INTRA-EX;20262;513881387;WB-429;;GR;PT;10;EXW;11;3;;0,1;1,000;68;;GREL802913609;
INTRA-EX;20262;513881387;FMTIA2-BLA;;GR;PT;10;EXW;11;3;;0,1;1,000;116;;GREL802913609;
INTRA-EX;20262;513881387;216BFWGEBOSM;;NL;PT;10;EXW;11;3;;0,1;1,000;42;;NL866860666B01;
